dx_t,dy_t,dz_t,dx_t-1,dy_t-1,dz_t-1,x_t,y_t,z_t,x_t-1,y_t-1,z_t-1
-0.18101581176198078,0.12624471503275006,-0.2835780672335009,-0.18101581176198078,0.12624471503275006,-0.2835780672335009,0.4977066128369729,-0.0010588937140473013,0.29573648713771666,0.5353959508750603,-0.000678227196061477,0.32598366355007485
-0.15022077234677056,0.09373769948864802,-0.21991317607623762,-0.18101581176198078,0.12624471503275006,-0.2835780672335009,0.46691157342176265,0.03144812183005475,0.2320715959804534,0.4977066128369729,-0.0010588937140473013,0.29573648713771666
-0.11687994511564392,0.05181647819535566,-0.142848916752653,-0.15022077234677056,0.09373769948864802,-0.21991317607623762,0.433570746190636,0.0733693431233471,0.15500733665686878,0.46691157342176265,0.03144812183005475,0.2320715959804534
-0.07535846829449178,0.024331336412390533,-0.07943761445374808,-0.11687994511564392,0.05181647819535566,-0.142848916752653,0.39204926936948387,0.10085448490631223,0.09159603435796387,0.433570746190636,0.0733693431233471,0.15500733665686878
-0.038221841554002434,0.012633584478474125,-0.03985948949656137,-0.07535846829449178,0.024331336412390533,-0.07943761445374808,0.3549126426289945,0.11255223684022864,0.05201790940077716,0.39204926936948387,0.10085448490631223,0.09159603435796387
-0.015970096310003346,0.005437291684529277,-0.016420068003454802,-0.03147490304403944,0.010403497853363225,-0.03282347255604179,0.33940783589495843,0.11751844300906258,0.035614504848190176,0.3549126426289945,0.11255223684022864,0.05201790940077716
-0.009703217900645655,0.0033733061148833315,-0.009871093912225293,-0.015944244859096957,0.00538144868663866,-0.016462956752339997,0.33316680893650713,0.11952658558081791,0.029022642008075472,0.33940783589495843,0.11751844300906258,0.035614504848190176
-0.007850741229307845,0.002742295342599163,-0.00796528044071132,-0.009680768219436975,0.003325183499431769,-0.009908870325918862,0.331336781946378,0.12010947373765052,0.02707905212286793,0.33316680893650713,0.11952658558081791,0.029022642008075472
-0.007351134393833836,0.0025640885201852898,-0.007463633095129596,-0.0078386762048267,0.0027169122601249512,-0.00798567236707387,0.33084924013538514,0.12026229747759018,0.026557012850923656,0.331336781946378,0.12010947373765052,0.02707905212286793
-0.007346630042251112,0.0025547525409099076,-0.007471242773106401,-0.007346630042251112,0.0025547525409099076,-0.007471242773106401,0.33084924013538514,0.12026229747759018,0.026557012850923656,0.33084924013538514,0.12026229747759018,0.026557012850923656
