dx_t,dy_t,dz_t,dx_t-1,dy_t-1,dz_t-1,x_t,y_t,z_t,x_t-1,y_t-1,z_t-1
-0.0482872770581364,-0.10616346072418165,-0.45825637171746814,-0.0482872770581364,-0.10616346072418165,-0.45825637171746814,0.32597172535223135,0.12468474977127389,0.47041479162168404,0.3317412539457492,0.13729431129025949,0.5248284535733534
-0.07636703400635658,-0.08572071148063556,-0.34675327786024546,-0.0482872770581364,-0.10616346072418165,-0.45825637171746814,0.3540514823004515,0.10424200052772781,0.35891169776446136,0.32597172535223135,0.12468474977127389,0.47041479162168404
-0.08145706828666843,-0.05662070791556145,-0.22230200678010437,-0.07636703400635658,-0.08572071148063556,-0.34675327786024546,0.3591415165807634,0.0751419969626537,0.23446042668432027,0.3540514823004515,0.10424200052772781,0.35891169776446136
-0.06786104528643688,-0.023782185438022133,-0.11885147128852835,-0.08145706828666843,-0.05662070791556145,-0.22230200678010437,0.3455454935805318,0.04230347448511437,0.13100989119274425,0.3591415165807634,0.0751419969626537,0.23446042668432027
-0.03961667997955465,-0.01923996276907543,-0.05280097761679092,-0.06786104528643688,-0.023782185438022133,-0.11885147128852835,0.3173011282736496,0.03776125181616767,0.06495939752100682,0.3455454935805318,0.04230347448511437,0.13100989119274425
-0.016096824926246922,-0.007828813880277941,-0.021480279820550452,-0.03385488658405339,-0.016441730043118573,-0.0451216787894928,0.2995430666158431,0.02914833565332704,0.04131799855206447,0.3173011282736496,0.03776125181616767,0.06495939752100682
-0.008786031814771,-0.004275614238507336,-0.011730100869106752,-0.016100394321990175,-0.007827559744172527,-0.021478059938781158,0.29222870410862395,0.025596390147661848,0.031570039482390067,0.2995430666158431,0.02914833565332704,0.04131799855206447
-0.006642751363152621,-0.0032325527083327116,-0.00886849469471268,-0.008787949365736347,-0.004274926886748014,-0.011728914296840254,0.2900835061060402,0.024554015969246546,0.028709619880262494,0.29222870410862395,0.025596390147661848,0.031570039482390067
-0.006213019915365214,-0.0030231504361995197,-0.00829412335589036,-0.006643390298709251,-0.003232322981089022,-0.0088680997395571,0.2896531357226962,0.024344843424357044,0.028135643496595752,0.2900835061060402,0.024554015969246546,0.028709619880262494
-0.006213146618119392,-0.003023104864287196,-0.00829404505064718,-0.006213146618119392,-0.003023104864287196,-0.00829404505064718,0.2896531357226962,0.024344843424357044,0.028135643496595752,0.2896531357226962,0.024344843424357044,0.028135643496595752
