dx_t,dy_t,dz_t
0.12475400128083758,0.03027266103182226,-0.4799703982197301
0.08657776979141818,0.02915674009354073,-0.4326811444340247
0.049015230116062125,0.03449380517926666,-0.339973478964519
0.01430368749497235,0.03472217501136103,-0.22956509434451605
-0.0009067285431109129,0.025565151259740154,-0.13202924465341526
-0.00981626398258817,0.018052108519508656,-0.06363413703177434
-0.003908960635837233,0.007938113724008891,-0.029280060082456205
-0.0020454330019303857,0.004160666252985737,-0.015351188146435546
-0.0015009420589140454,0.0030531421658422236,-0.01126485335057198
-0.001397844851116492,0.00284274455505118,-0.01048813631519635
-0.0013979677459492468,0.0028427753521799715,-0.01048811158610602
-0.0013979677459492468,0.0028427753521799715,-0.01048811158610602
