dx_t,dy_t,dz_t
-0.12352530894598224,-0.0072485458824407024,-0.3318763414704465
-0.07735211502874839,-0.003956824059653103,-0.30432533269146184
-0.08268867353301168,-0.004899794739055833,-0.23113076696673857
-0.07642589285055279,-0.005036703894838179,-0.14876082040523864
-0.054188068471994755,-0.0037602384885336085,-0.08240190608651426
-0.027452149945396687,-0.0018985357704556886,-0.042762272679458146
-0.013515729412844069,-0.0009352658272630404,-0.02106793064871043
-0.00792467791782947,-0.0005486000623745983,-0.01235864653052654
-0.006290195250351016,-0.0004354437384161691,-0.009809465754990865
-0.005879201174757043,-0.0004069679530963842,-0.00916788697328269
-0.0058793131676766475,-0.0004069662818699353,-0.009167815225440967
-0.0058793131676766475,-0.0004069662818699353,-0.009167815225440967
