dx_t,dy_t,dz_t
0.15104259189995184,0.08992563958707481,-0.5429492987616897
0.15482703858018088,0.07675330692920877,-0.4786936193522044
0.09301693284897816,0.09654665631408124,-0.36807160326928423
0.032969793082238796,0.09766786728918106,-0.2390822342669932
0.01060193852110558,0.06193791453372735,-0.1358812537141525
-0.0035616606536037487,0.03607780411601184,-0.06333404961592104
-0.0010989329845665363,0.015936486243271958,-0.028728496704594764
-0.00055158010405576,0.008096636629183782,-0.014598809272515612
-0.0003948611631742205,0.0057985115257173404,-0.01045509098234687
-0.0003657665048135694,0.005362010448454402,-0.009667759156960776
-0.0003558463503029463,0.005215386904590631,-0.00940335887845356
-0.00035590445021915773,0.005215396715793317,-0.009403351237642299
