dx_t,dy_t,dz_t
-0.08295345099356088,-0.16181341069884364,-0.20994054669351786
-0.045216138741202005,-0.12721010273633881,-0.1984559314411653
-0.059660515350132504,-0.06291580624449196,-0.1598196333428813
-0.05021087035871796,-0.04728278017998574,-0.10512576014188152
-0.02970893564783128,-0.02829063771572804,-0.06337392029611288
-0.015804075961979414,-0.015060988412753468,-0.03373650281223689
-0.00839398053912066,-0.008005518174257015,-0.01793101023584992
-0.005321004591041345,-0.0050760285164442726,-0.011369120709131986
-0.0044224964897569,-0.0042187455300768395,-0.009449029415334043
-0.004289693022278551,-0.0040918114387147875,-0.009164783747937333
-0.0042897459630349966,-0.004091796454941954,-0.009164765657602547
-0.0042897459630349966,-0.004091796454941954,-0.009164765657602547
