dx_t,dy_t,dz_t
-0.1196645423525673,0.020717054485523204,-0.3006418538506988
-0.06257913371305701,0.006113976090005593,-0.2744677430416161
-0.06505349660320414,0.001461597557460996,-0.21187557817046226
-0.05830016581497599,-0.0017553483041377813,-0.14009984599880893
-0.038944751311363324,-0.009382524720572633,-0.08049793945028211
-0.02002062869286947,-0.004445936644483776,-0.04210045325820033
-0.010188947028209605,-0.0022636586112718196,-0.0214496328858213
-0.006113793535168943,-0.0013586025382086447,-0.012875988616923517
-0.004922789987604981,-0.001093935370661589,-0.010367359257018649
-0.00474685932513752,-0.0010547932579281147,-0.009995964337347951
-0.004611004916372008,-0.0010246089655834428,-0.009709948220479603
-0.004611060112628351,-0.0010246133748489927,-0.009709921543323952
