dx_t,dy_t,dz_t
0.42107012892863493,0.2029055656663204,-0.5176965730686198
0.3875341367315657,0.13713404171259536,-0.4558439160034179
0.2931842402471119,0.09802041449596119,-0.3569352013271928
0.11211339178468815,-0.11324366199318915,-0.2692027371438101
0.06113746859462621,-0.025608132408376567,-0.15698718918734167
0.044067358916974886,-0.0137409812444802,-0.0676807855441825
0.018663750864431172,-0.006005247846750952,-0.030064473862893903
0.008978576943371008,-0.002886606017228288,-0.014450250279034571
0.006147130415691482,-0.001976255615527736,-0.009892943475269755
0.0057134155268996345,-0.0018370293720203767,-0.009196097679545379
0.005713252129589508,-0.0018370417795676858,-0.009196196711432902
0.005713252129589508,-0.0018370417795676858,-0.009196196711432902
