dx_t,dy_t,dz_t
-0.02589656160842313,0.06072485157364083,-0.4743801572433223
0.010410510853336441,0.03316224633331421,-0.42190193156777195
-0.0037630374016426327,0.00398712649203218,-0.3067110691561202
-0.012988082944581647,-0.02636142203866323,-0.1726293966410971
-0.027107758954890704,-0.01730856459664815,-0.07184022716289368
-0.010286669266975745,-0.0069335176983630915,-0.030289373451555524
-0.004843435214081038,-0.003266567848622921,-0.014274851949741096
-0.003585930141632221,-0.0024184019587801474,-0.010567954800597468
-0.0034580986702726912,-0.0023319341531289513,-0.01018943888154128
-0.0033629001594117636,-0.0022677462863414954,-0.009908988934512086
