dx_t,dy_t,dz_t,dx_t-1,dy_t-1,dz_t-1,x_t,y_t,z_t,x_t-1,y_t-1,z_t-1
0.055738182851476525,-0.0053871533972954105,-0.2509427489831192,0.055738182851476525,-0.0053871533972954105,-0.2509427489831192,0.4775262636868804,-0.10531274964391109,0.25419553909704734,0.4572067249914861,-0.13464509203754907,0.2839814602994734
0.04058985547248467,0.003824196984722264,-0.19919637291814674,0.055738182851476525,-0.0053871533972954105,-0.2509427489831192,0.49267459106587225,-0.11452410002592876,0.20244916303207489,0.4775262636868804,-0.10531274964391109,0.25419553909704734
0.02452407750715846,0.010352533299468308,-0.13751413117759537,0.04058985547248467,0.003824196984722264,-0.19919637291814674,0.5087403690311985,-0.12105243634067481,0.14076692129152352,0.49267459106587225,-0.11452410002592876,0.20244916303207489
0.014695849390247595,0.006183002022324732,-0.08228145780309093,0.02452407750715846,0.010352533299468308,-0.13751413117759537,0.5185685971481093,-0.11688290506353123,0.08553424791701908,0.5087403690311985,-0.12105243634067481,0.14076692129152352
0.006976690100925609,0.002921732204406405,-0.03897212333243849,0.012942417226775804,0.005445278443043239,-0.07246406305862463,0.5245343242739595,-0.1143593588248944,0.05204230819083294,0.5185685971481093,-0.11688290506353123,0.08553424791701908
0.0037256557705647175,0.0015561804115941935,-0.0207821958545385,0.006973534863040198,0.002923136894814507,-0.03897258193596548,0.527782203366435,-0.11299240234167408,0.03385192210940596,0.5245343242739595,-0.1143593588248944,0.05204230819083294
0.0024265246243133642,0.0010119714388907158,-0.013523720760321212,0.003723466694573574,0.0015570350538886696,-0.020782523739836245,0.5290791454366952,-0.11244733872667613,0.02659311912989093,0.527782203366435,-0.11299240234167408,0.03385192210940596
0.001996476668368219,0.0008328673195142494,-0.011128673906844966,0.002425063167879049,0.00101250586663576,-0.013523942686062107,0.529507731936206,-0.11226770017955462,0.02419785035067379,0.5290791454366952,-0.11244733872667613,0.02659311912989093
0.0019291178063081116,0.0008049574392523101,-0.010754609319475028,0.0019960550638071783,0.0008330176093840763,-0.011128738265973992,0.5295746691937051,-0.11223964000942285,0.023823721404174825,0.529507731936206,-0.11226770017955462,0.02419785035067379
0.001929040397876225,0.0008049848368487655,-0.010754621153045929,0.001929040397876225,0.0008049848368487655,-0.010754621153045929,0.5295746691937051,-0.11223964000942285,0.023823721404174825,0.5295746691937051,-0.11223964000942285,0.023823721404174825
