dx_t,dy_t,dz_t,dx_t-1,dy_t-1,dz_t-1,x_t,y_t,z_t,x_t-1,y_t-1,z_t-1
-0.09991925296053972,-0.15593139714190038,-0.29201377595275946,-0.09991925296053972,-0.15593139714190038,-0.29201377595275946,0.6168764113006848,0.03175955162029314,0.2942876992353369,0.6207315078534441,0.03400947606443812,0.3425010369988796
-0.0826913809392793,-0.12912289512613923,-0.22418506691890605,-0.09991925296053972,-0.15593139714190038,-0.29201377595275946,0.5996485392794244,0.004951049604532007,0.22645899020148347,0.6168764113006848,0.03175955162029314,0.2942876992353369
-0.07978144523236974,-0.08267933729420962,-0.14338653017867076,-0.0826913809392793,-0.12912289512613923,-0.22418506691890605,0.5967386035725148,-0.041492508227397605,0.14566045346124817,0.5996485392794244,0.004951049604532007,0.22645899020148347
-0.05587207512809722,-0.04197928615906529,-0.08220059402388236,-0.07978144523236974,-0.08267933729420962,-0.14338653017867076,0.5728292334682423,-0.08219255936254194,0.08447451730645977,0.5967386035725148,-0.041492508227397605,0.14566045346124817
-0.028364937958355707,-0.021323104665378262,-0.04175588108266404,-0.05587207512809722,-0.04197928615906529,-0.08220059402388236,0.5453220962985008,-0.10284874085622897,0.044029804365241454,0.5728292334682423,-0.08219255936254194,0.08447451730645977
-0.011947037790945192,-0.008986797864993054,-0.017599496948490112,-0.023188645908067684,-0.017431870447665337,-0.03413588784952892,0.5340804881813783,-0.11129381343890125,0.027493413464202643,0.5453220962985008,-0.10284874085622897,0.044029804365241454
-0.007284238969866852,-0.0054804253823189375,-0.010732863924861169,-0.011948854449494117,-0.008986437356455587,-0.017598447280098795,0.5294158727017511,-0.1147998254130379,0.020627830108965017,0.5340804881813783,-0.11129381343890125,0.027493413464202643
-0.00592055898214805,-0.004454363651128945,-0.00872340362992391,-0.007285158972156758,-0.005480232903612117,-0.010732337632079092,0.5280512727117423,-0.11582569466552108,0.018618896106809835,0.5294158727017511,-0.1147998254130379,0.020627830108965017
-0.005707673576372807,-0.004294024458742163,-0.00840936876383086,-0.0059208706024587165,-0.004454296899444363,-0.008723226194670308,0.5278380756856564,-0.11598596710622328,0.018305038675970386,0.5280512727117423,-0.11582569466552108,0.018618896106809835
-0.005547297630651649,-0.0041733818524710975,-0.008173105436639572,-0.005707730858124593,-0.004294012108420078,-0.0084093361906451,0.5276776424581835,-0.11610659736217226,0.018068807921964858,0.5278380756856564,-0.11598596710622328,0.018305038675970386
