dx_t,dy_t,dz_t
0.03549151420070218,-0.22741702165895122,-0.3586580032645799
0.011189823186185555,-0.21757117091816142,-0.30071782476336345
-0.03440436338357089,-0.1746436627524333,-0.22093093246101903
-0.033585149248495316,-0.11798347595771305,-0.1491897616645449
-0.030371628416659968,-0.06780933750896484,-0.08519962491309241
-0.014886350728336994,-0.034337587679317744,-0.04316563813190599
-0.007120974303199468,-0.01644597996177921,-0.02067224580802829
-0.003925597754573129,-0.009071193280346557,-0.011401666844640279
-0.0029893029200465104,-0.006907472691706301,-0.008682062416359215
-0.002884888809670416,-0.0066654695052427715,-0.008377972946643941
-0.0028041963999039243,-0.006479077633382374,-0.00814368728310405
-0.0028042340184504244,-0.006479065434161019,-0.008143684034880916
