dx_t,dy_t,dz_t
-0.002853285281892326,0.0032780462082307726,-0.4812244512602284
0.006749011574826991,0.018846658294363966,-0.41979811371005915
0.02581767152924508,0.04272197501259739,-0.3225603275699362
-0.0045922475371158455,0.017926868528603576,-0.2202453452301204
-0.013373796726816822,0.009781166298102384,-0.12750524030053695
-0.0062526274967644735,0.004925648916634537,-0.06371211089593914
-0.0029028391823161526,0.002303339468070098,-0.0297330842477449
-0.0015320814413952721,0.0012197441981865176,-0.01573071786174607
-0.0011320864103405714,0.0009012802650938956,-0.01162362964617436
-0.0010564988079263538,0.0008406278840136505,-0.010843106887618248
-0.001056635142937079,0.0008405852328994268,-0.010843096907474092
-0.001056635142937079,0.0008405852328994268,-0.010843096907474092
