dx_t,dy_t,dz_t
-0.03367114959309947,-0.1370311907705362,-0.14980937902059815
-0.06511190690458557,-0.12420133235853073,-0.13315850598306195
-0.06030964264321215,-0.10773620608902817,-0.10698507885284336
-0.052218173709157156,-0.08220069182822536,-0.07465025953800664
-0.04241543393813807,-0.05565413729591022,-0.04485146818640706
-0.03351310887234882,-0.033941667057679384,-0.02303607772118621
-0.0276817519044954,-0.020065157710688022,-0.010723997687853759
-0.012731440061340304,-0.009996110198660813,-0.005753740004014074
-0.00874143201734312,-0.006863473732571054,-0.00395067494126744
-0.00813111639841635,-0.006383873048217845,-0.003674333373782257
-0.008131210401352673,-0.0063838207934139996,-0.003674216128029484
-0.008131210401352673,-0.0063838207934139996,-0.003674216128029484
