dx_t,dy_t,dz_t
-0.07433666570943132,0.0553453100693827,-0.2513348265443248
-0.047600523597364,-0.0006501600854472451,-0.22559436080807027
-0.03197325336195056,0.00901159857325248,-0.17858103064775926
-0.02838075262192652,-0.0018208065102231184,-0.12270850279847095
-0.01677631315540218,-0.0007425354221373571,-0.07381070763719089
-0.008914183128260755,-0.0003908646629135412,-0.039273560457885326
-0.004727638491176855,-0.00020563965412966415,-0.02085766554244195
-0.0029937536469414328,-0.0001299405471094483,-0.01321387234607524
-0.0024872820154635544,-0.00010800171689513346,-0.01097773460160334
-0.002412556633641594,-0.00010481739921559818,-0.010646778965553827
-0.0024126217583888554,-0.00010483583105291502,-0.010646764026148614
-0.0024126217583888554,-0.00010483583105291502,-0.010646764026148614
