dx_t,dy_t,dz_t
0.1368974603349321,0.09968290011721426,-0.5587170019124423
0.13182455606079463,0.06824664815738338,-0.48958886039536603
0.09227413833678244,0.03346198014048206,-0.37961572428803
0.040967911716469185,0.013473110904050657,-0.25365411477674626
-0.007816910495915708,-0.007940821797347265,-0.13914342746433672
-0.0016184719907749168,-0.023895268370589084,-0.060997468827012624
-0.0007986775975341587,-0.009742100546654954,-0.02835304817294443
-0.0004174035075351634,-0.00515152613711875,-0.014993379220738234
-0.00030834155957326637,-0.0038054450607612894,-0.011075548071267982
-0.00028811213334656305,-0.003549694150686518,-0.010331136158664433
-0.0002882695567101301,-0.0035496978192072343,-0.01033113050429113
-0.0002882695567101301,-0.0035496978192072343,-0.01033113050429113
