dx_t,dy_t,dz_t
0.1462082426256779,-0.06792836263027312,-0.48571279286648644
0.08936140849403373,-0.06209106122274405,-0.4340807578613888
0.06070062474933102,-0.00016347886768969255,-0.33685843614071265
-0.0025775272187490428,0.008924919096130052,-0.2261165500136903
-0.009492010360994896,0.016346104447276355,-0.13010926427377584
-0.004387903799241921,0.00772297255819418,-0.06478016813828269
-0.002011149109053978,0.003550487900920718,-0.02981690441334972
-0.0010585371183504666,0.0018732273279732925,-0.015745008123619453
-0.0007810119241518088,0.001382120693968536,-0.011617022504027463
-0.0007286105511709051,0.001288939471287831,-0.01083244141479539
-0.000728720116391135,0.0012889895973333676,-0.010832428078693501
-0.000728720116391135,0.0012889895973333676,-0.010832428078693501
