dx_t,dy_t,dz_t
-0.17712104684563112,-0.0018385862018763938,-0.23698286658576945
-0.13327499247525632,-0.025100158322070146,-0.21660000483849767
-0.09655669590179294,-0.022964128846212142,-0.17529671829811533
-0.07836832820059808,-0.02285965313873732,-0.11237311119225074
-0.04636914202442127,-0.013377972745331812,-0.06752734380514058
-0.02436961751895156,-0.007034638243960098,-0.03551717312605479
-0.012644467595875064,-0.0036521118712613126,-0.018443500984061834
-0.007781316305386365,-0.002247932303161629,-0.011353203715918081
-0.0063592428034529025,-0.0018370740255167495,-0.00927808590792989
-0.006149010008260014,-0.0017762613187849025,-0.008970782981306435
-0.006149081156862524,-0.001776260662028184,-0.008970734341358366
-0.005978234976851682,-0.0017269383269425398,-0.008721702086072425
