dx_t,dy_t,dz_t
-0.2266980539432818,-0.03073923131931856,-0.3862229717256043
-0.18254314983202746,-0.05128417437302492,-0.3492299514197947
-0.16789927384551717,-0.055967579234084366,-0.25361014420008543
-0.13233000350650664,-0.03128848030183652,-0.15761710321975098
-0.08695188169271856,-0.019896062675078395,-0.08018923137141643
-0.05023360872454763,-0.004084447175866528,-0.03256199709608032
-0.011879020623285719,-0.007437680573865547,-0.02198352090685496
-0.008413888548327808,-0.0034592233283630217,-0.011570465045559974
-0.006671396370201366,-0.00274281280482349,-0.009174022320779351
-0.006233491140767933,-0.002562599562525178,-0.008571001353424923
-0.006233646877167209,-0.0025625938351470368,-0.008570889795719405
-0.006233646877167209,-0.0025625938351470368,-0.008570889795719405
